timestamp,request_timestamp,task_id,device_id,slo_type,base_deadline,adapted_deadline,selected_node,node_power,cluster_power
1764464769.7438638,2025-11-30 10:06:09.743,device_071_000002,device_071,normal,0.2728231441198422,0.2728231441198422,hailo2,4.4022,23.1692
1764464769.7635705,2025-11-30 10:06:09.763,device_088_000001,device_088,normal,0.2286660153455529,0.2286660153455529,hailo1,4.85,23.209600000000002
1764464769.7853062,2025-11-30 10:06:09.785,device_086_000001,device_086,soft,0.38050955460738245,0.38050955460738245,jetson2,2.48,23.209600000000002
1764464769.8046615,2025-11-30 10:06:09.804,device_038_000004,device_038,soft,0.49345841645093114,0.49345841645093114,hailo1,4.85,23.209600000000002
1764464769.849953,2025-11-30 10:06:09.849,device_044_000000,device_044,normal,0.17306862842457077,0.17306862842457077,jetson1,2.465,23.3439
1764464769.8687253,2025-11-30 10:06:09.868,device_019_000001,device_019,soft,0.5941760962256599,0.5941760962256599,coral2,4.5773,23.3439
1764464769.8866577,2025-11-30 10:06:09.886,device_003_000001,device_003,soft,0.49257116009032165,0.49257116009032165,hailo1,4.85,23.3439
1764464769.9055047,2025-11-30 10:06:09.905,device_119_000001,device_119,normal,0.2862030114076477,0.2862030114076477,hailo2,4.4944999999999995,23.3439
1764464769.9269743,2025-11-30 10:06:09.926,device_119_000002,device_119,hard,0.0557109269893922,0.0557109269893922,coral1,4.509,23.3439
1764464769.9489973,2025-11-30 10:06:09.948,device_057_000001,device_057,soft,0.42991214242841413,0.42991214242841413,jetson2,2.439,23.3439
1764464769.984651,2025-11-30 10:06:09.984,device_003_000002,device_003,normal,0.23833108578854403,0.23833108578854403,hailo2,4.4944999999999995,23.3439
1764464770.013921,2025-11-30 10:06:10.013,device_003_000003,device_003,normal,0.13718716278132734,0.13718716278132734,hailo2,4.4944999999999995,23.3439
1764464770.0328665,2025-11-30 10:06:10.032,device_009_000000,device_009,normal,0.14679699380709488,0.1,hailo1,4.85,23.3439
1764464770.0505083,2025-11-30 10:06:10.050,device_121_000000,device_121,normal,0.23792065533341045,0.23792065533341045,hailo1,4.85,23.3439
1764464770.0703592,2025-11-30 10:06:10.070,device_078_000002,device_078,normal,0.24641925553217092,0.24641925553217092,hailo1,4.85,23.3439
1764464770.0901637,2025-11-30 10:06:10.090,device_044_000001,device_044,soft,0.46123891577242904,0.46123891577242904,coral1,4.509,23.3439
1764464770.1099193,2025-11-30 10:06:10.109,device_043_000000,device_043,soft,0.5859102481390639,0.5859102481390639,jetson1,2.465,23.3439
1764464770.1548958,2025-11-30 10:06:10.154,device_057_000002,device_057,hard,0.13042995405423863,0.13042995405423863,coral2,4.5773,23.3348
1764464770.1750917,2025-11-30 10:06:10.175,device_078_000003,device_078,normal,0.2782159760105295,0.2782159760105295,hailo1,4.85,23.3348
1764464770.192955,2025-11-30 10:06:10.192,device_069_000001,device_069,normal,0.2536724972003609,0.2536724972003609,jetson2,2.439,23.3348
1764464770.2132185,2025-11-30 10:06:10.213,device_038_000005,device_038,normal,0.16066255721124773,0.16066255721124773,hailo2,4.4944999999999995,23.3348
1764464770.2325099,2025-11-30 10:06:10.232,device_109_000001,device_109,soft,0.5971482017461143,0.5971482017461143,jetson1,2.465,23.3348
1764464770.253331,2025-11-30 10:06:10.253,device_119_000003,device_119,normal,0.280943940991467,0.280943940991467,hailo2,4.4944999999999995,23.3348
1764464770.2887607,2025-11-30 10:06:10.288,device_010_000000,device_010,soft,0.5141841096954588,0.30851046581727526,hailo2,4.4944999999999995,23.3348
1764464770.314985,2025-11-30 10:06:10.314,device_121_000001,device_121,soft,0.49881079009998,0.49881079009998,coral2,4.5773,23.3348
1764464770.3336425,2025-11-30 10:06:10.333,device_110_000001,device_110,soft,0.43859088688820347,0.26315453213292206,coral1,4.509,23.3348
1764464770.353139,2025-11-30 10:06:10.353,device_121_000002,device_121,soft,0.5715664986968041,0.5715664986968041,hailo2,4.4944999999999995,23.3348
1764464770.3732884,2025-11-30 10:06:10.373,device_010_000001,device_010,normal,0.19911304333745036,0.11946782600247022,jetson2,2.439,23.2148
1764464770.393535,2025-11-30 10:06:10.393,device_035_000003,device_035,normal,0.17772681702085824,0.17772681702085824,hailo2,4.4944999999999995,23.2148
1764464770.4276989,2025-11-30 10:06:10.427,device_003_000004,device_003,hard,0.08155457398164233,0.08155457398164233,hailo1,4.85,23.383699999999997
1764464770.4587739,2025-11-30 10:06:10.458,device_101_000004,device_101,soft,0.32068325432951805,0.32068325432951805,jetson1,2.465,23.383699999999997
1764464770.4782386,2025-11-30 10:06:10.478,device_008_000000,device_008,soft,0.5381409294714268,0.5381409294714268,coral2,4.5773,23.383699999999997
1764464770.496862,2025-11-30 10:06:10.496,device_010_000002,device_010,soft,0.42039063871358884,0.2522343832281533,hailo1,4.85,23.383699999999997
1764464770.5165997,2025-11-30 10:06:10.516,device_044_000002,device_044,hard,0.06897450331738222,0.06897450331738222,hailo2,4.4944999999999995,23.4657
1764464770.5375152,2025-11-30 10:06:10.537,device_012_000001,device_012,normal,0.2612571894056425,0.2612571894056425,hailo2,4.4944999999999995,23.4657
1764464770.561834,2025-11-30 10:06:10.561,device_019_000002,device_019,normal,0.27885752071428416,0.27885752071428416,coral1,4.509,23.4657
1764464770.6185539,2025-11-30 10:06:10.618,device_086_000002,device_086,normal,0.25398204296691373,0.25398204296691373,hailo2,4.4944999999999995,23.4657
1764464770.6407573,2025-11-30 10:06:10.640,device_009_000001,device_009,normal,0.19992319608324668,0.119953917649948,hailo2,4.4944999999999995,23.4657
1764464770.6671512,2025-11-30 10:06:10.667,device_008_000001,device_008,normal,0.2678105539279547,0.2678105539279547,jetson1,2.465,23.4657
1764464770.691527,2025-11-30 10:06:10.691,device_102_000002,device_102,normal,0.28251170932765285,0.28251170932765285,coral2,4.5773,23.4657
1764464770.7183573,2025-11-30 10:06:10.718,device_038_000006,device_038,soft,0.59623865673004,0.59623865673004,jetson2,2.439,23.4657
1764464770.743717,2025-11-30 10:06:10.743,device_035_000004,device_035,soft,0.3947496843952828,0.3947496843952828,hailo1,4.95,23.5657
1764464770.7986803,2025-11-30 10:06:10.798,device_086_000003,device_086,normal,0.2192840452583774,0.2192840452583774,hailo1,4.95,23.5657
1764464770.821363,2025-11-30 10:06:10.821,device_008_000002,device_008,soft,0.3728504437986119,0.11185513313958356,hailo2,4.4944999999999995,23.5657
1764464770.8415656,2025-11-30 10:06:10.841,device_109_000002,device_109,soft,0.5411008446322838,0.5411008446322838,hailo1,4.95,23.5657
1764464770.8607452,2025-11-30 10:06:10.860,device_119_000004,device_119,normal,0.2771756157583987,0.2771756157583987,coral1,4.509,23.456000000000003
1764464770.885829,2025-11-30 10:06:10.885,device_009_000002,device_009,normal,0.163357878263044,0.1,jetson2,2.439,23.456000000000003
1764464770.919057,2025-11-30 10:06:10.919,device_078_000004,device_078,soft,0.4181549660912489,0.4181549660912489,hailo1,4.95,23.456000000000003
1764464770.9483128,2025-11-30 10:06:10.948,device_057_000003,device_057,soft,0.555894615882478,0.555894615882478,jetson1,2.465,23.456000000000003
1764464770.968948,2025-11-30 10:06:10.968,device_078_000005,device_078,hard,0.06262745288786221,0.06262745288786221,coral2,4.5773,23.456000000000003
1764464770.986945,2025-11-30 10:06:10.986,device_109_000003,device_109,soft,0.5741304229931575,0.5741304229931575,coral1,4.6779,23.456000000000003
1764464771.0086503,2025-11-30 10:06:11.008,device_069_000002,device_069,hard,0.05899709933299126,0.05899709933299126,hailo2,4.3848,23.456000000000003
